BusinessYear,StateCode,IssuerId,SourceName,ImportDate,NetworkName,NetworkId,NetworkURL,MarketCoverage,DentalOnlyPlan
2026,IN,35065,HIOS,2025-10-15,Premier,INN001,https://www.ambetterhealth.com/en/in/findadoc,Individual,No
2026,IN,43433,HIOS,2025-10-15,IN Marketplace  Network,INN001,https://www.dentaquest.com/en/find-a-dentist,Individual,Yes
2026,IN,54192,HIOS,2025-10-15,Indiana,INN001,https://findadoctor.caresource.com/doctors?programs=IN-exchange,Individual,No
2026,IN,57874,HIOS,2026-03-31,Delta Dental,INN001,https://www.deltadental.com/us/en/member/find-a-dentist.html,Individual,Yes
2026,IN,59560,HIOS,2025-10-28,DentalGuard Preferred,INN001,,SHOP (Small Group),Yes
2026,IN,59560,HIOS,2025-10-28,DentalGuard Preferred - Individual,INN002,https://dentalexchange.guardiandirect.com/find-a-dentist,Individual,Yes
2026,IN,72850,HIOS,2025-10-15,Individual Exchange Benefit Plan Network,INN011,https://www.uhc.com/xindocfindoa2026,Individual,No
2026,IN,83557,HIOS,2025-11-10,BEST Life and Health National Network,INN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
2026,IN,87417,HIOS,2025-10-15,DenteMax,INN001,https://www.truassure.com/find-a-provider,Individual,Yes
2026,IN,94419,HIOS,2026-02-03,Indiana Connect Network,INN001,https://www.cigna.com/ifp-providers,Individual,No
2026,IN,99791,HIOS,2025-10-15,HumanaDental PPO/Traditional Preferred,INN001,https://www.humana.com/finder/search?customerId=1085&pfpkey=317,Individual,Yes
2026,KS,11339,SERFF,2025-10-15,Dentegra PPO Individual,KSN001,https://www.dentegra.com/find-a-dentist/,Individual,Yes
2026,KS,18558,SERFF,2025-11-04,SolutionsCAP,KSN001,https://www.bcbsks.com/ProviderDirectory/?prefix=XSN,Individual,No
2026,KS,25268,SERFF,2025-10-15,DenteMax,KSN001,https://www.truassure.com/find-a-provider,Individual,Yes
2026,KS,34368,SERFF,2025-10-15,Premier,KSN001,https://www.ambetterhealth.com/en/ks/findadoc,Individual,No
2026,KS,39520,SERFF,2025-10-15,Select by Medica,KSN004,https://www.Medica.com/SearchSelectNetwork-2026,Individual,No
2026,KS,43490,SERFF,2025-10-28,Individual Kansas,KSN001,https://www.hioscar.com/search/?networkId=028&year=2026,Individual,No
2026,KS,61779,SERFF,2025-10-15,DentalGuard Preferred - Individual,KSN001,https://dentalexchange.guardiandirect.com/find-a-dentist,Individual,Yes
2026,KS,63790,SERFF,2025-11-10,BEST Life and Health National Network,KSN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
2026,KS,94248,SERFF,2025-10-15,BlueSelect,KSN001,http://www.BlueKC.com/qhp/bs,Individual,No
2026,KS,94248,SERFF,2025-10-15,BlueSelect w Spira Care,KSN002,http://www.BlueKC.com/qhp/bs/sc,Individual,No
2026,KS,94248,SERFF,2025-10-15,Blue Metro w Spira Care,KSN003,http://www.BlueKC.com/qhp/bm/sc,Individual,No
2026,KS,94968,SERFF,2025-10-15,Individual Exchange Benefit Plan Network,KSN011,https://www.uhc.com/xksdocfindoa2026,Individual,No
2026,KS,95038,SERFF,2025-10-15,Renaissance Dental,KSN001,https://www.myrenproviders.com/,Individual,Yes
2026,LA,11904,HIOS,2025-10-15,LA Marketplace PPO Network,LAN002,https://www.dentaquest.com/en/find-a-dentist,Individual,Yes
2026,LA,18802,HIOS,2026-07-29,Delta Dental PPO Individual,LAN001,https://www.deltadentalins.com/find-a-dentist/,Individual,Yes
2026,LA,19636,HIOS,2025-10-15,HMO Louisiana HMO/POS Statewide,LAN005,https://lablue.com/hmopos-medical-vision-dental,Individual,No
2026,LA,19636,HIOS,2025-10-15,Blue Connect HMO/POS,LAN006,https://lablue.com/blueconnect-medical-vision-dental,Individual,No
2026,LA,19636,HIOS,2025-10-15,Community Blue HMO/POS,LAN007,https://lablue.com/communityblue-medical-vision-dental,Individual,No
2026,LA,19636,HIOS,2025-10-15,Signature Blue HMO/POS,LAN008,https://lablue.com/signatureblue-medical-vision-dental,Individual,No
2026,LA,19636,HIOS,2025-10-15,Precision Blue HMO/POS,LAN009,https://lablue.com/precisionblue-medical-vision-dental,Individual,No
2026,LA,28419,HIOS,2025-10-15,Renaissance Dental,LAN001,https://www.myrenproviders.com/,Individual,Yes
2026,LA,38246,HIOS,2025-11-10,ACNEXT LA HMO,LAN001,https://amerihealthcaritasnext.healthsparq.com/healthsparq/public/#/one/city=&state=&postalCode=&country=&insurerCode=ACNEXT_I&brandCode=ACNEXT&alphaPrefix=&bcbsaProductId=&productCode=LAEX,Individual,No
2026,LA,44965,HIOS,2025-10-15,HumanaDental PPO/Traditional Preferred,LAN001,https://www.humana.com/finder/search?customerId=1085&pfpkey=317,Individual,Yes
2026,LA,69842,HIOS,2025-11-04,Individual Exchange Benefit Plan Network,LAN011,https://www.uhc.com/xladocfindoa2026,Individual,No
2026,LA,78461,HIOS,2025-11-10,Best Life and Health National Network,LAN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
2026,LA,87390,HIOS,2025-10-15,DentalGuard Preferred - Individual,LAN001,https://dentalexchange.guardiandirect.com/find-a-dentist,Individual,Yes
2026,LA,90787,HIOS,2025-10-15,Premier,LAN001,https://www.ambetterhealth.com/en/la/findadoc,Individual,No
2026,LA,97176,HIOS,2025-10-15,PPO Vision Dental,LAN001,https://lablue.com/ppo-medical-vision-dental,Individual,No
2026,LA,97176,HIOS,2025-10-15,United Concordia Dental Individual SADP,LAN002,https://lablue.com/uc-dental,Individual,Yes
2026,LA,97176,HIOS,2025-10-15,United Concordia Dental Group SADP,LAN003,https://lablue.com/uc-dental,SHOP (Small Group),Yes
2026,LA,98780,HIOS,2025-10-15,CHRISTUS Health Plan Louisiana,LAN001,https://www.christushealthplan.org/find-a-provider,Individual,No
2026,MI,10516,SERFF,2026-06-23,Unum Dental Network,MIN001,,SHOP (Small Group),Yes
2026,MI,11083,SERFF,2025-10-15,PDP PLUS,MIN001,https://providers.online.metlife.com/findDentist,SHOP (Small Group),Yes
2026,MI,15560,SERFF,2025-10-15,Blue Dental PPO,MIN003,https://www.bcbsm.com/marketplace/dental/,SHOP (Small Group),Yes
2026,MI,15560,SERFF,2025-10-15,Blue Dental PPO,MIN004,https://www.bcbsm.com/marketplace/dental/,SHOP (Small Group),Yes
2026,MI,15560,SERFF,2025-10-15,Blue Cross Premier,MIN006,https://www.bcbsm.com/marketplace/ppo/,Individual,No
2026,MI,15560,SERFF,2025-10-15,Blue Dental PPO,MIN007,https://www.bcbsm.com/marketplace/dental/,Individual,Yes
2026,MI,15560,SERFF,2025-10-15,Blue Dental PPO,MIN008,https://www.bcbsm.com/marketplace/dental/,Individual,Yes
2026,MI,15676,SERFF,2025-10-15,Choice PPO,MIN001,https://www.dominionnational.com/find-a-dentist,Individual,Yes
2026,MI,29698,SERFF,2025-10-15,Priority Health HMO,MIN001,https://web.healthsparq.com/healthsparq/public/#/one/insurerCode=PH_I&brandCode=PH,Individual,No
2026,MI,29698,SERFF,2025-10-15,Corewell Health West Michigan Network,MIN002,https://web.healthsparq.com/healthsparq/public/#/one/insurerCode=PH_I&brandCode=PH,Individual,No
2026,MI,29698,SERFF,2025-10-15,Bronson Healthcare Partners,MIN003,https://web.healthsparq.com/healthsparq/public/#/one/insurerCode=PH_I&brandCode=PH,Individual,No
2026,MI,29698,SERFF,2025-10-15,Southeast Michigan Network,MIN004,https://web.healthsparq.com/healthsparq/public/#/one/insurerCode=PH_I&brandCode=PH,Individual,No
2026,MI,29698,SERFF,2025-10-15,Trinity Health East Network,MIN005,https://web.healthsparq.com/healthsparq/public/#/one/insurerCode=PH_I&brandCode=PH,Individual,No
2026,MI,29698,SERFF,2025-10-15,Priority Health HMO Plus,MIN006,https://web.healthsparq.com/healthsparq/public/#/one/insurerCode=PH_I&brandCode=PH,Individual,No
2026,MI,31256,SERFF,2026-02-03,DENCAP Individual Provider Network,MIN001,https://www.dencap.com/marketplace-providers/,Individual,Yes
2026,MI,31256,SERFF,2026-02-03,DenteMax Provider Network,MIN002,https://www.dencap.com/find-a-dentist/,SHOP (Small Group),Yes
2026,MI,31256,SERFF,2026-02-03,DENCAP Group Provider Network,MIN003,https://www.dencap.com/find-a-dentist/,SHOP (Small Group),Yes
2026,MI,34930,SERFF,2026-03-31,Delta Dental PPO and Delta Dental Premier,MIN001,https://www.deltadental.com/us/en/member/find-a-dentist.html,Individual,Yes
2026,MI,34930,SERFF,2026-03-31,Delta Dental PPO and Delta Dental Premier,MIN002,https://www.deltadental.com/us/en/member/find-a-dentist.html,SHOP (Small Group),Yes
2026,MI,35700,SERFF,2025-11-10,BEST Life and Health National Network,MIN001,https://www.bestlife.com/Provider_Search/,Individual,Yes
